"","City","Month","Sample_type","Date","DIC","DOC","NO2","NO3","NH4","Water.level","T","pH","OD","Sequencing_run","is.neg"
"SL-02-S-00-bac","SL","Oct","Soil","23-Oct-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FALSE"
"SL-03-gw","SL","Nov","Groundwater","20-Nov-19","  2.00"," 0.30"," 0.001532","0.049318"," 0.0023335","6.36","5.94"," 7.40"," 89.90","1","FALSE"
"SL-03-R","SL","Nov","River","20-Nov-19"," 19.10","10.30"," 0.005366","0.172029"," 0.0734140",NA,"7.17"," 3.10"," 88.60","1","FALSE"
"SL-03-S-00-bac","SL","Nov","Soil","20-Nov-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FALSE"
"SL-03-sn","SL","Nov","Snow","20-Nov-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FALSE"
"SL-04-gw","SL","Dec","Groundwater","11-Dec-19","  2.52"," 0.57"," 0.001093","0.047544","-0.0002510","6.45","5.79"," 7.20","101.70","1","FALSE"
"SL-04-R","SL","Dec","River","11-Dec-19"," 15.52","13.99"," 0.003223","0.171403"," 0.0760515",NA,"7.09"," 0.40"," 89.50","1","FALSE"
"SL-04-S-00-bac","SL","Dec","Soil","11-Dec-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","FALSE"
"SL-05-gw","SL","Jan","Groundwater","14-Jan-20","  1.90"," 0.50"," 0.000175","0.047400","-0.0014450","7.18","6.01"," 5.30","103.50","2","FALSE"
"SL-05-R","SL","Jan","River","14-Jan-20"," 11.90","12.40"," 0.003197","0.224152"," 0.0528985",NA,"6.72"," 0.40"," 92.70","2","FALSE"
"SL-05-sn","SL","Jan","Snow","14-Jan-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","FALSE"
"SL-06-gw","SL","Feb","Groundwater","13-Feb-20","  2.20"," 0.00"," 0.000498","0.049331"," 0.0067865","6.43","5.85"," 7.02","100.00","2","FALSE"
"SL-06-sn","SL","Feb","Snow","13-Feb-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","FALSE"
"SL-07-gw","SL","Mar","Groundwater","16-Mar-20","  5.00"," 0.60"," 0.002270","0.049230"," 0.0001480","6.36","5.95"," 7.10"," 99.30","2","FALSE"
"SL-07-R","SL","Mar","River","16-Mar-20"," 12.80","11.80"," 0.006430","0.162500"," 0.0942075",NA,NA,NA,NA,"2","FALSE"
"SL-07-sn","SL","Mar","Snow","16-Mar-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","FALSE"
"SL-08-gw","SL","Apr","Groundwater","15-Apr-20","  2.60"," 0.00","-0.001137","0.081481"," 0.0131910","5.86","6.45"," 5.50","101.00","2","FALSE"
"SL-08-R","SL","Apr","River","15-Apr-20"," 11.40","14.60"," 0.004187","0.206625"," 0.0521000",NA,"7.01"," 4.50"," 91.10","2","FALSE"
"SL-08-S-00-bac","SL","Apr","Soil","15-Apr-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","FALSE"
"SL-09-gw","SL","May","Groundwater","18-May-20","  2.60"," 0.00"," 0.001085","0.065139"," 0.0660285","5.75","5.96"," 9.50","100.70","2","FALSE"
"SL-09-R","SL","May","River","18-May-20"," 17.30","13.30"," 0.006630","0.153769"," 0.0326775",NA,"7.39","12.40","103.70","2","FALSE"
"SL-09-S-00-bac","SL","May","Soil","18-May-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","FALSE"
"SL-10-gw","SL","June","Groundwater","17-Jun-20","  2.80"," 0.00"," 0.004510","0.092840"," 0.0090000","5.89","6.46"," 8.30"," 98.80","2","FALSE"
"SL-10-R","SL","June","River","17-Jun-20"," 25.60"," 3.30"," 0.009430","0.244980"," 0.0260000",NA,"7.33","18.20"," 97.30","2","FALSE"
"SL-10-S-00-bac","SL","June","Soil","17-Jun-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","FALSE"
"SL-11-gw","SL","July","Groundwater","15-Jul-20","  2.20"," 0.40"," 0.003470","0.048120"," 0.0080000","6.20","5.74"," 8.72"," 99.10","2","FALSE"
"SL-11-R","SL","July","River","15-Jul-20"," 23.00"," 4.70"," 0.014040","0.189510",NA,NA,"7.50","16.84",NA,"2","FALSE"
"SL-11-S-00-bac","SL","July","Soil","15-Jul-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","FALSE"
"SL-12-gw","SL","Aug","Groundwater","17-Aug-20","  2.10"," 0.20"," 0.008000","0.074000"," 0.0070000","6.15","6.60","10.80"," 94.30","2","FALSE"
"SL-12-R","SL","Aug","River","17-Aug-20"," 24.20"," 4.10"," 0.014000","0.153000"," 0.0250000",NA,"7.39","17.80"," 93.10","2","FALSE"
"SL-12-S-00-bac","SL","Aug","Soil","17-Aug-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","FALSE"
